ts,tomcat_busy,tomcat_current,hikari_active,hikari_pending,hikari_timeout,jvm_mem_used,mysql_threads_connected,mysql_threads_running
2026-04-22T06:11:18Z,,,,,,,11,2
2026-04-22T06:11:29Z,,,,,,,11,2
2026-04-22T06:11:35Z,,,,,,,11,2
2026-04-22T06:11:40Z,,,,,,,11,2
2026-04-22T06:11:46Z,,,,,,,11,2
2026-04-22T06:11:52Z,,,,,,,11,2
2026-04-22T06:11:57Z,,,,,,,11,2
2026-04-22T06:12:03Z,,,,,,,11,2
2026-04-22T06:12:09Z,,,,,,,11,2
2026-04-22T06:12:14Z,,,,,,,11,2
2026-04-22T06:12:20Z,,,,,,,11,2
2026-04-22T06:12:26Z,,,,,,,11,2
2026-04-22T06:12:31Z,,,,,,,11,2
2026-04-22T06:12:37Z,,,,,,,11,2
2026-04-22T06:12:42Z,,,,,,,11,2
2026-04-22T06:12:48Z,,,,,,,11,2
2026-04-22T06:12:53Z,,,,,,,11,2
2026-04-22T06:12:59Z,,,,,,,11,2
2026-04-22T06:13:05Z,,,,,,,11,2
2026-04-22T06:13:10Z,,,,,,,11,2
2026-04-22T06:13:16Z,,,,,,,11,2
2026-04-22T06:13:21Z,,,,,,,11,2
2026-04-22T06:13:27Z,,,,,,,11,2
2026-04-22T06:13:32Z,,,,,,,11,2
2026-04-22T06:13:38Z,,,,,,,11,2
2026-04-22T06:13:44Z,,,,,,,11,2
2026-04-22T06:13:49Z,,,,,,,11,2
2026-04-22T06:13:55Z,,,,,,,11,2
2026-04-22T06:14:00Z,,,,,,,11,2
2026-04-22T06:14:06Z,,,,,,,11,2
2026-04-22T06:14:11Z,,,,,,,11,2
2026-04-22T06:14:16Z,,,,,,,11,2
2026-04-22T06:14:22Z,,,,,,,11,2
2026-04-22T06:14:27Z,,,,,,,11,2
2026-04-22T06:14:33Z,,,,,,,11,2
2026-04-22T06:14:39Z,,,,,,,11,2
2026-04-22T06:14:44Z,,,,,,,11,2
2026-04-22T06:14:50Z,,,,,,,11,2
2026-04-22T06:14:55Z,,,,,,,11,2
2026-04-22T06:15:01Z,,,,,,,11,2
2026-04-22T06:15:06Z,,,,,,,11,2
2026-04-22T06:15:12Z,,,,,,,11,2
2026-04-22T06:15:17Z,,,,,,,11,2
2026-04-22T06:15:23Z,,,,,,,11,2
2026-04-22T06:15:28Z,,,,,,,11,2
2026-04-22T06:15:34Z,,,,,,,11,2
2026-04-22T06:15:40Z,,,,,,,11,2
2026-04-22T06:15:46Z,,,,,,,11,2
2026-04-22T06:15:51Z,,,,,,,11,2
2026-04-22T06:15:57Z,,,,,,,11,2
2026-04-22T06:16:02Z,,,,,,,11,2
2026-04-22T06:16:08Z,,,,,,,11,2
2026-04-22T06:16:14Z,,,,,,,11,2
2026-04-22T06:16:20Z,,,,,,,11,2
2026-04-22T06:16:26Z,,,,,,,11,2
2026-04-22T06:16:31Z,,,,,,,11,2
2026-04-22T06:16:37Z,,,,,,,11,2
2026-04-22T06:16:43Z,,,,,,,11,2
2026-04-22T06:16:48Z,,,,,,,11,2
2026-04-22T06:16:54Z,,,,,,,11,2
2026-04-22T06:17:00Z,,,,,,,11,2
2026-04-22T06:17:14Z,,,,,,,11,2
2026-04-22T06:17:19Z,,,,,,,11,2
2026-04-22T06:17:25Z,,,,,,,11,2
2026-04-22T06:17:31Z,,,,,,,11,2
2026-04-22T06:17:36Z,,,,,,,11,2
2026-04-22T06:17:42Z,,,,,,,11,2
2026-04-22T06:17:47Z,,,,,,,11,2
2026-04-22T06:17:53Z,,,,,,,11,2
2026-04-22T06:17:58Z,,,,,,,11,2
2026-04-22T06:18:04Z,,,,,,,11,2
2026-04-22T06:18:16Z,,,,,,,11,2
2026-04-22T06:18:22Z,,,,,,,11,2
2026-04-22T06:18:27Z,,,,,,,11,2
2026-04-22T06:18:33Z,,,,,,,11,2
2026-04-22T06:18:38Z,,,,,,,11,2
2026-04-22T06:18:44Z,,,,,,,11,2
2026-04-22T06:18:49Z,,,,,,,11,2
2026-04-22T06:18:55Z,,,,,,,11,2
2026-04-22T06:19:00Z,,,,,,,11,2
2026-04-22T06:19:06Z,,,,,,,11,2
2026-04-22T06:19:12Z,,,,,,,11,2
2026-04-22T06:19:17Z,,,,,,,11,2
2026-04-22T06:19:23Z,,,,,,,11,2
2026-04-22T06:19:28Z,,,,,,,11,2
2026-04-22T06:19:34Z,,,,,,,11,2
2026-04-22T06:19:40Z,,,,,,,11,2
2026-04-22T06:19:45Z,,,,,,,11,2
2026-04-22T06:19:50Z,,,,,,,11,2
2026-04-22T06:19:56Z,,,,,,,11,2
2026-04-22T06:20:01Z,,,,,,,11,2
2026-04-22T06:20:07Z,,,,,,,11,2
2026-04-22T06:20:13Z,,,,,,,11,2
2026-04-22T06:20:18Z,,,,,,,11,2
2026-04-22T06:20:24Z,,,,,,,11,2
2026-04-22T06:20:29Z,,,,,,,11,2
2026-04-22T06:20:35Z,,,,,,,11,2
2026-04-22T06:20:40Z,,,,,,,11,2
2026-04-22T06:20:46Z,,,,,,,11,2
2026-04-22T06:20:51Z,,,,,,,11,2
2026-04-22T06:20:57Z,,,,,,,11,2
2026-04-22T06:21:03Z,,,,,,,11,2
2026-04-22T06:21:08Z,,,,,,,11,2
2026-04-22T06:21:14Z,,,,,,,11,2
2026-04-22T06:21:20Z,,,,,,,11,2
2026-04-22T06:21:26Z,,,,,,,11,2
2026-04-22T06:21:32Z,,,,,,,11,2
2026-04-22T06:21:37Z,,,,,,,11,2
2026-04-22T06:21:43Z,,,,,,,11,2
2026-04-22T06:21:49Z,,,,,,,11,2
2026-04-22T06:21:55Z,,,,,,,11,2
2026-04-22T06:22:05Z,,,,,,,11,2
2026-04-22T06:22:11Z,,,,,,,11,2
2026-04-22T06:22:17Z,,,,,,,11,2
2026-04-22T06:22:22Z,,,,,,,11,2
2026-04-22T06:22:28Z,,,,,,,11,2
2026-04-22T06:22:34Z,,,,,,,11,2
2026-04-22T06:22:40Z,,,,,,,11,2
2026-04-22T06:22:46Z,,,,,,,11,2
2026-04-22T06:22:52Z,,,,,,,11,2
2026-04-22T06:22:58Z,,,,,,,11,2
2026-04-22T06:23:05Z,,,,,,,11,2
2026-04-22T06:23:12Z,,,,,,,11,2
2026-04-22T06:23:19Z,,,,,,,11,2
2026-04-22T06:23:26Z,,,,,,,11,2
2026-04-22T06:23:32Z,,,,,,,11,2
2026-04-22T06:23:38Z,,,,,,,11,2
2026-04-22T06:23:43Z,,,,,,,11,2
2026-04-22T06:23:49Z,,,,,,,11,2
2026-04-22T06:24:05Z,,,,,,,11,2
2026-04-22T06:24:10Z,,,,,,,11,2
2026-04-22T06:24:16Z,,,,,,,11,2
2026-04-22T06:24:23Z,,,,,,,11,2
2026-04-22T06:24:30Z,,,,,,,11,2
2026-04-22T06:24:37Z,,,,,,,11,2
2026-04-22T06:24:43Z,,,,,,,11,2
2026-04-22T06:24:49Z,,,,,,,11,2
2026-04-22T06:24:55Z,,,,,,,11,2
2026-04-22T06:25:00Z,,,,,,,11,2
2026-04-22T06:25:06Z,,,,,,,11,2
2026-04-22T06:25:11Z,,,,,,,11,2
2026-04-22T06:25:17Z,,,,,,,11,2
2026-04-22T06:25:23Z,,,,,,,11,2
2026-04-22T06:25:29Z,,,,,,,11,2
2026-04-22T06:25:37Z,,,,,,,11,2
2026-04-22T06:25:45Z,,,,,,,11,2
2026-04-22T06:25:53Z,,,,,,,11,2
2026-04-22T06:26:00Z,,,,,,,11,2
2026-04-22T06:26:05Z,,,,,,,11,2
2026-04-22T06:26:11Z,,,,,,,11,2
2026-04-22T06:26:17Z,,,,,,,11,2
2026-04-22T06:26:22Z,,,,,,,11,2
2026-04-22T06:26:28Z,,,,,,,11,2
2026-04-22T06:26:34Z,,,,,,,11,2
2026-04-22T06:26:39Z,,,,,,,11,2
2026-04-22T06:26:45Z,,,,,,,11,2
2026-04-22T06:26:51Z,,,,,,,11,2
2026-04-22T06:26:57Z,,,,,,,11,2
2026-04-22T06:27:05Z,,,,,,,11,2
2026-04-22T06:27:22Z,,,,,,,11,2
2026-04-22T06:27:36Z,,,,,,,11,2
2026-04-22T06:27:43Z,,,,,,,11,2
2026-04-22T06:27:51Z,,,,,,,11,2
2026-04-22T06:27:59Z,,,,,,,11,2
2026-04-22T06:28:07Z,,,,,,,11,2
2026-04-22T06:28:13Z,,,,,,,11,2
2026-04-22T06:28:26Z,,,,,,,11,2
2026-04-22T06:28:33Z,,,,,,,11,2
2026-04-22T06:28:39Z,,,,,,,11,2
2026-04-22T06:28:46Z,,,,,,,11,2
2026-04-22T06:29:08Z,,,,,,,11,2
2026-04-22T06:29:17Z,,,,,,,11,2
2026-04-22T06:29:24Z,,,,,,,11,2
2026-04-22T06:29:30Z,,,,,,,11,2
2026-04-22T06:29:41Z,,,,,,,11,2
2026-04-22T06:29:54Z,,,,,,,11,2
2026-04-22T06:30:12Z,,,,,,,11,2
2026-04-22T06:30:24Z,,,,,,,11,2
2026-04-22T06:30:44Z,,,,,,,11,2
2026-04-22T06:31:17Z,,,,,,,11,2
2026-04-22T06:31:43Z,,,,,,,11,2
2026-04-22T06:32:10Z,,,,,,,11,2
2026-04-22T06:32:32Z,,,,,,,11,2
2026-04-22T06:32:43Z,,,,,,,11,2
2026-04-22T06:32:53Z,,,,,,,11,2
2026-04-22T06:33:00Z,,,,,,,11,2
2026-04-22T06:33:13Z,,,,,,,11,2
2026-04-22T06:33:47Z,,,,,,,11,2
2026-04-22T06:34:09Z,,,,,,,11,2
2026-04-22T06:34:23Z,,,,,,,11,2
2026-04-22T06:35:39Z,,,,,,,11,2
2026-04-22T06:36:02Z,,,,,,,11,2
2026-04-22T06:36:17Z,,,,,,,11,2
2026-04-22T06:36:29Z,,,,,,,11,2
2026-04-22T06:36:46Z,,,,,,,11,2
2026-04-22T06:37:16Z,,,,,,,11,2
2026-04-22T06:37:31Z,,,,,,,11,2
2026-04-22T06:37:40Z,,,,,,,11,2
2026-04-22T06:38:02Z,,,,,,,11,2
