ts,http_active,jvm_threads_live,hikari_active,hikari_pending,hikari_timeout_count,gc_pause_total_s,gc_pause_max_s,jvm_mem_used,mysql_threads_connected,mysql_threads_running
2026-04-22T17:55:10Z,1.0,30.0,0.0,0.0,0.0,0.363,0.137,263214496,11,2
2026-04-22T17:55:49Z,1.0,35.0,0.0,0.0,0.0,0.363,0.137,284179048,11,2
2026-04-22T17:55:55Z,2.0,35.0,0.0,0.0,0.0,0.363,0.137,293784896,11,2
2026-04-22T17:56:01Z,1.0,35.0,0.0,0.0,0.0,0.363,0.0,303622232,11,2
2026-04-22T17:56:06Z,1.0,35.0,0.0,0.0,0.0,0.363,0.0,313386376,11,2
2026-04-22T17:56:12Z,1.0,35.0,0.0,0.0,0.0,0.363,0.0,327459312,11,2
2026-04-22T17:56:17Z,1.0,35.0,0.0,0.0,0.0,0.363,0.0,342790896,11,2
2026-04-22T17:56:24Z,1.0,35.0,1.0,0.0,0.0,0.363,0.0,359075808,11,2
2026-04-22T17:56:29Z,1.0,36.0,0.0,0.0,0.0,0.363,0.0,3.7964568E+8,11,2
2026-04-22T17:56:35Z,1.0,36.0,0.0,0.0,0.0,0.46599999999999997,0.103,249495648,11,2
2026-04-22T17:56:41Z,1.0,36.0,0.0,0.0,0.0,0.46599999999999997,0.103,269249576,11,2
2026-04-22T17:56:49Z,1.0,40.0,0.0,0.0,0.0,0.46599999999999997,0.103,3.0110564E+8,11,2
2026-04-22T17:56:55Z,1.0,39.0,0.0,0.0,0.0,0.46599999999999997,0.103,320663488,11,2
2026-04-22T17:57:00Z,1.0,39.0,0.0,0.0,0.0,0.46599999999999997,0.103,345154968,11,2
2026-04-22T17:57:06Z,1.0,42.0,0.0,0.0,0.0,0.46599999999999997,0.103,373998112,11,2
2026-04-22T17:57:12Z,1.0,47.0,0.0,0.0,0.0,0.594,0.103,254826144,11,2
2026-04-22T17:57:17Z,2.0,47.0,0.0,0.0,0.0,0.594,0.103,282431008,11,2
