ts,tomcat_busy,tomcat_current,hikari_active,hikari_pending,hikari_timeout,jvm_mem_used,mysql_threads_connected,mysql_threads_running
2026-04-22T07:07:22Z,,,,,,,11,2
2026-04-22T07:07:27Z,,,,,,,11,2
2026-04-22T07:07:33Z,,,,,,,11,2
2026-04-22T07:07:39Z,,,,,,,11,2
2026-04-22T07:07:44Z,,,,,,,11,2
2026-04-22T07:07:50Z,,,,,,,11,2
2026-04-22T07:07:55Z,,,,,,,11,2
2026-04-22T07:08:01Z,,,,,,,11,2
2026-04-22T07:08:06Z,,,,,,,11,2
2026-04-22T07:08:12Z,,,,,,,11,2
2026-04-22T07:08:18Z,,,,,,,11,2
2026-04-22T07:08:23Z,,,,,,,11,2
2026-04-22T07:08:29Z,,,,,,,11,2
2026-04-22T07:08:35Z,,,,,,,11,2
2026-04-22T07:08:40Z,,,,,,,11,2
2026-04-22T07:08:45Z,,,,,,,11,2
2026-04-22T07:08:51Z,,,,,,,11,2
2026-04-22T07:08:56Z,,,,,,,11,2
2026-04-22T07:09:02Z,,,,,,,11,2
2026-04-22T07:09:07Z,,,,,,,11,2
2026-04-22T07:09:13Z,,,,,,,11,2
2026-04-22T07:09:18Z,,,,,,,11,2
2026-04-22T07:09:24Z,,,,,,,11,2
2026-04-22T07:09:33Z,,,,,,,11,2
2026-04-22T07:09:39Z,,,,,,,11,2
2026-04-22T07:09:44Z,,,,,,,11,2
2026-04-22T07:09:50Z,,,,,,,11,2
2026-04-22T07:09:56Z,,,,,,,11,2
2026-04-22T07:10:01Z,,,,,,,11,2
2026-04-22T07:10:07Z,,,,,,,11,2
2026-04-22T07:10:12Z,,,,,,,11,2
2026-04-22T07:10:18Z,,,,,,,11,2
2026-04-22T07:10:24Z,,,,,,,11,2
2026-04-22T07:10:33Z,,,,,,,11,2
2026-04-22T07:10:39Z,,,,,,,11,2
2026-04-22T07:10:45Z,,,,,,,11,2
2026-04-22T07:10:50Z,,,,,,,11,2
2026-04-22T07:10:59Z,,,,,,,11,2
2026-04-22T07:11:05Z,,,,,,,11,2
2026-04-22T07:11:11Z,,,,,,,11,2
2026-04-22T07:11:16Z,,,,,,,11,2
2026-04-22T07:11:22Z,,,,,,,11,2
2026-04-22T07:11:27Z,,,,,,,11,2
2026-04-22T07:11:33Z,,,,,,,11,2
2026-04-22T07:11:38Z,,,,,,,11,2
2026-04-22T07:11:44Z,,,,,,,11,2
2026-04-22T07:11:49Z,,,,,,,11,2
2026-04-22T07:11:55Z,,,,,,,11,2
2026-04-22T07:12:00Z,,,,,,,11,2
2026-04-22T07:12:05Z,,,,,,,11,2
2026-04-22T07:12:11Z,,,,,,,11,2
2026-04-22T07:12:16Z,,,,,,,11,2
2026-04-22T07:12:21Z,,,,,,,11,2
2026-04-22T07:12:27Z,,,,,,,11,2
